Element,Row,Col,Lattice,N_unit,TotEngBulk,BulkE,AtomE,bulkmod,keldAE,keldBM,DFT atomE,ErrAtomE,xc_contribs
Sc,4,3,fcc,4,-79.987736,-19.996934,-36.10155336,0.329545,,,-16.10,0.00,"[[-967.1162687646587, 862.2104015524264, -677.9080392489711, 454.6980926613012, -235.27720424299127, 54.058521228959535, 69.18809602453848, -130.76544990165507], [336.9886440749294, -303.5777303907107, 242.23830788011696, -162.77977196483369, 77.8577568396488, -0.6795184418551798, -58.08101869033237, 92.44388680018551], [52.04952185788443, -45.910102498908486, 36.484755536217335, -28.64877816957346, 26.89622437525759, -32.88684213658075, 44.46686904441799, -56.447511187890655], [43.75951682580671, -38.8909445739331, 30.22413229398262, -18.944243474998984, 6.124875320118008, 7.045938790770606, -19.20757092628719, 28.732221898897023], [-181.12759731663436, 163.71367071453733, -133.1406293161183, 95.77610106394832, -58.16567875071735, 25.606346984117636, -1.136657285974934, -14.563956204439364], [147.64635493677406, -135.31938903646733, 112.81454190709405, -83.39368788213108, 50.87478945977227, -19.26198827436906, -7.897873663415567, 28.01693024656288], [-90.23089372765696, 84.50709495048864, -72.96242624925844, 55.412333491488425, -32.43435028939393, 6.06461001883099, 20.382093710713207, -42.967323162452544], [106.57828734265468, -98.30351387863323, 82.9811688669995, -62.221361437785504, 37.882073198284616, -12.264823352065832, -12.000236604754264, 32.17388744963068]]"
Y,4,3,fcc,4,,,,,,,,0.00,
Ti,4,4,hcp,2,-88.438892,-44.219446,-39.54370483,0.711845,4.85,,4.68,-0.17,"[[-1046.448861914116, 935.5538377565638, -739.9408318086801, 501.50982078298466, -265.1002930248251, 67.51334103054887, 69.38752962297076, -140.46929817028877], [354.0882565744748, -319.7487073398007, 256.3585514810129, -173.87827689505434, 85.28014235687056, -4.169417136174616, -58.20946742441038, 95.38321607223043], [69.73809766505656, -62.11662053348573, 50.008956361089986, -38.66099910141611, 33.05100029580285, -35.570863606081275, 44.69733441835251, -55.503566497353404], [45.12365160811737, -40.16866251236979, 31.129501612150534, -19.21125129687516, 5.653983899687773, 8.179670220436265, -20.793315452015122, 30.507364591697296], [-199.27550081401705, 180.5241905317996, -147.23778196107946, 106.05126378134537, -64.10052693024659, 27.368150095612464, 0.40598943260374654, -18.08895120998409], [150.71032483528643, -138.42967658397924, 115.80586077218368, -86.04146968050736, 52.97084304054874, -20.575582002347574, -7.565975397539205, 28.726945167125223], [-78.81551585357488, 74.19287257604014, -64.56953530919964, 49.475800888300455, -29.150609000507757, 5.1418716890582346, 19.636205943767663, -41.46481674635106], [103.32920099203875, -95.34030673886718, 80.42459661366661, -60.19495702341328, 36.573127325331825, -11.793310527828908, -11.660109077197603, 31.19549628853133]]"
Zr,5,4,hcp,2,-208.139004,-104.069502,-98.07039574,0.585027,6.25,,6.00,-0.25,"[[-2895.3338957662077, 2671.733306360912, -2262.627790157481, 1732.8753832082657, -1159.3699840329464, 616.3827448269453, -163.16033308775968, -164.05654557692606], [617.440935701045, -562.628665304544, 461.19302884407807, -328.0472194068034, 182.45984187543263, -44.75501370642314, -67.55799021266239, 142.8774062352959], [749.9189695818727, -706.4896745024853, 626.3048858246934, -521.5661973392102, 406.845860429376, -295.59240746528303, 197.43305990424233, -116.91867320994425], [-2.334446286381535, 9.422577417903995, -22.042314037407323, 37.93028448408495, -54.389870247196086, 68.42002140715522, -77.12822011338221, 78.08814168356275], [-825.3096243383493, 766.0302155629183, -656.6372758029365, 512.8443673664156, -353.87730513782344, 199.1884582976968, -65.31746068181883, -36.403521286622436], [398.10579586834365, -372.5140295925453, 324.40972950233527, -258.94189347058455, 182.75722442805727, -103.41834847293785, 28.486577820399816, 35.32792408308387], [206.4434206274318, -192.30513294100456, 166.95006038371548, -135.78612186826922, 105.03409801328417, -79.96570273722818, 63.67784745909148, -56.499803720671935], [-46.56470174664673, 46.80406531570952, -46.82116842618052, 46.38548023595331, -45.46110396571703, 43.95520497298776, -41.66334226171648, 38.20878244971618]]"
V,4,5,hcp,2,,,-43.32128493,,,,,0.00,
Nb,5,5,bcc,2,,,-104.1344298,,7.57,,,0.00,"[[-3021.6479662022743, 2791.755052486407, -2371.267628112995, 1825.2990466348251, -1231.0724210380993, 664.8374596721123, -188.96419553570922, -157.39146241190383], [633.3213539729677, -576.6259968771278, 471.7181751311159, -334.8574555628343, 186.3225740540579, -46.32638751351578, -67.94260291007686, 144.95458551279262], [799.5192675997455, -753.2698446314016, 669.0360031769842, -559.8841512534104, 439.7710068029214, -321.5613505423539, 215.26499691684057, -126.49109577491572], [-4.784571665607928, 11.443256902541634, -23.59962360730333, 39.64113529193946, -57.108344915547605, 72.44510989299533, -81.9653073146419, 82.74855856103432], [-868.6147662408052, 807.5798738662147, -694.7320957342799, 546.0337304606251, -380.6956528226251, 218.19453548625143, -75.93050551883698, -33.506904525233494], [409.3250317108923, -383.5071603226861, 334.64575666560404, -267.95671113586604, 190.38736596023455, -109.41711392368006, 32.34338693327254, 34.07569041722991], [235.53260251977463, -219.96841741207618, 192.2957562095039, -158.13327040315698, 123.43406989094547, -93.3845776564981, 71.67628871334091, -59.612869324816984], [-53.956407235034476, 54.08222383429029, -54.1831234242527, 54.02217310644437, -53.19877778378259, 51.133319995422426, -47.20164175147784, 41.142051974906735]]"
Cr,4,6,bcc,2,,,,,,,,0.00,
Mo,5,6,bcc,2,-230.61239,-115.306195,-109.5768614,1.743501,6.82,,5.73,-1.09,"[[-3147.168732317112, 2910.542573021271, -2477.5207901132944, 1914.5762565703326, -1300.5171943533128, 713.3571328672838, -217.29624144774743, -146.79294157305048], [648.8903608054566, -590.5685995830577, 482.8065303585513, -342.3905056690155, 190.21938499384714, -47.08533254886106, -69.49374750350671, 147.86606677737882], [848.3620054244202, -800.0503094767218, 712.0431002862956, -597.7453241900603, 471.4048502958635, -346.2882797943389, 232.81671386143307, -137.02913061021172], [-6.600175055027194, 13.398019353076506, -25.818852098821026, 42.271907210589234, -60.28721728344726, 76.19203601345953, -86.10698792157655, 86.89977047794628], [-914.1400826224171, 850.5650123557352, -733.0788269737868, 578.1350458008396, -405.5369434677341, 235.44709654371582, -85.90147830932756, -29.947637492275135], [423.9348364601028, -397.4421268524384, 347.19175693883335, -278.53847815356175, 198.65840045309415, -115.20677960136254, 35.642435395953726, 33.10256314684602], [264.27529211037927, -247.3370924185624, 217.06582708019323, -179.3805754408122, 140.55454843031976, -106.1276160298421, 80.1286109366738, -64.14495100046588], [-67.44996613687681, 67.19923162883879, -66.45553549937904, 64.97993327466611, -62.45755129438021, 58.38032790705847, -52.21933772777402, 43.852628252223894]]"
W,6,6,bcc,2,,,-268.3573678,,,,,0.00,"[[-8319.943497448672, 7826.38529982098, -6906.712059999309, 5679.886388628318, -4293.764006582213, 2900.2985336044203, -1632.4756859570507, 587.2053168153907], [1174.558897074121, -1059.1750497688063, 847.8943216013922, -576.1500751404983, 288.15890168918486, -28.191738273766532, -167.9660165454734, 279.55412354596956], [2874.2223442975464, -2770.3072704035703, 2569.664788474054, -2286.080002107058, 1937.9866295722495, -1546.7726898411483, 1135.3522841846752, -726.8003150677587], [34.04486241277664, -1.6006790438841563, -55.98973443177783, 126.43942179204714, -195.22715911689738, 248.0440442541949, -273.2708936957624, 263.8638536390008], [-2814.896456671513, 2652.7038527482327, -2348.737219179765, 1939.7516035803656, -1472.5328962201447, 996.495995604997, -556.6996764603118, 188.18336263585843], [828.761399624118, -773.2355815449691, 669.8882529023067, -532.3315858685164, 377.7494196684238, -224.0919779495198, 87.10849857534777, 21.792697993709226], [1498.2624374102597, -1438.4608934909447, 1323.8093753381327, -1163.866041296651, 971.4978045120733, -761.2436079815461, 547.8061202352128, -344.7715160426651], [-253.54995771212816, 260.5325493788914, -271.1407969069114, 280.0407546245169, -281.2928393107577, 269.619629836081, -241.52109031026885, 195.96365784458612]]"
Mn,4,7,bcc,,,,,,,,,0.00,
